periode_data;wilayah;tanggal;harga;komoditas
202402;Jakarta Pusat;29;50000;Susu Bubuk Dancow 400gr
202402;Jakarta Pusat;29;14607;Susu Kental Bendera 200gr
202402;Jakarta Pusat;29;12304;Susu Kental Enak 200gr
202402;Jakarta Pusat;29;15589;Margarin Blueband Cup
202402;Jakarta Pusat;29;11036;Margarin Blueband Sachet
202402;Jakarta Utara;29;15471;Beras IR I (IR 64)
202402;Jakarta Utara;29;14640;Beras IR II (IR 64) Ramos
202402;Jakarta Utara;29;13976;Beras IR III (IR 64)
202402;Jakarta Utara;29;15960;Beras Muncul I
202402;Jakarta Utara;29;16634;Beras IR 42/Pera
202402;Jakarta Utara;29;15443;Beras Setra I/Premium
202402;Jakarta Utara;29;15526;Minyak Goreng (Kuning/Curah)
202402;Jakarta Utara;29;78644;Cabe Merah Keriting
202402;Jakarta Utara;29;88501;Cabe Merah Besar (TW)
202402;Jakarta Utara;29;75428;Cabe Rawit Merah
202402;Jakarta Utara;29;54148;Cabe Rawit Hijau
202402;Jakarta Utara;29;41162;Bawang Merah
202402;Jakarta Utara;29;42758;Bawang Putih
202402;Jakarta Utara;29;145899;Daging Sapi Has (Paha Belakang)
202402;Jakarta Utara;29;144203;Daging Sapi Murni (Semur)
202402;Jakarta Utara;29;42246;Ayam Broiler/Ras
202402;Jakarta Utara;29;28477;Telur Ayam Ras
202402;Jakarta Utara;29;16138;Gula Pasir
202402;Jakarta Utara;29;11613;Tepung Terigu
202402;Jakarta Utara;29;4045;Garam Dapur
202402;Jakarta Utara;29;21090;Kentang (sedang)
202402;Jakarta Utara;29;23084;Tomat Buah
202402;Jakarta Utara;29;10229;Kelapa Kupas
202402;Jakarta Utara;29;12842;Semangka
202402;Jakarta Utara;29;34482;Jeruk Medan
202402;Jakarta Utara;29;140625;Daging Kambing
202402;Jakarta Utara;29;109348;Daging Babi Berlemak
202402;Jakarta Utara;29;40089;Ikan Bandeng (sedang)
202402;Jakarta Utara;29;36651;Ikan Mas
202402;Jakarta Utara;29;27767;Ikan Lele
202402;Jakarta Utara;29;20786;Gas Elpiji 3kg
202402;Jakarta Utara;29;43000;Susu Bubuk Bendera 400gr
202402;Jakarta Utara;29;51554;Susu Bubuk Dancow 400gr
202402;Jakarta Utara;29;14776;Susu Kental Bendera 200gr
202402;Jakarta Utara;29;11380;Susu Kental Enak 200gr
202402;Jakarta Utara;29;17346;Margarin Blueband Cup
202402;Jakarta Utara;29;11658;Margarin Blueband Sachet
202402;Jakarta Barat;29;16100;Beras IR I (IR 64)
202402;Jakarta Barat;29;15571;Beras IR II (IR 64) Ramos
202402;Jakarta Barat;29;15096;Beras IR III (IR 64)
202402;Jakarta Barat;29;15557;Beras Muncul I
202402;Jakarta Barat;29;16589;Beras IR 42/Pera
202402;Jakarta Barat;29;16643;Beras Setra I/Premium
202402;Jakarta Barat;29;16036;Minyak Goreng (Kuning/Curah)
202402;Jakarta Barat;29;75556;Cabe Merah Keriting
202402;Jakarta Barat;29;96556;Cabe Merah Besar (TW)
202402;Jakarta Barat;29;68571;Cabe Rawit Merah
202402;Jakarta Barat;29;41286;Cabe Rawit Hijau
202402;Jakarta Barat;29;35857;Bawang Merah
202402;Jakarta Barat;29;37679;Bawang Putih
202402;Jakarta Barat;29;140000;Daging Sapi Has (Paha Belakang)
202402;Jakarta Barat;29;140000;Daging Sapi Murni (Semur)
202402;Jakarta Barat;29;35000;Ayam Broiler/Ras
202402;Jakarta Barat;29;28714;Telur Ayam Ras
202402;Jakarta Barat;29;17000;Gula Pasir
202402;Jakarta Barat;29;11000;Tepung Terigu
202402;Jakarta Barat;29;5000;Garam Dapur
202402;Jakarta Barat;29;19407;Kentang (sedang)
202402;Jakarta Barat;29;24607;Tomat Buah
202402;Jakarta Barat;29;10000;Kelapa Kupas
202402;Jakarta Barat;29;10196;Semangka
202402;Jakarta Barat;29;26161;Jeruk Medan
202402;Jakarta Barat;29;149500;Daging Kambing
202402;Jakarta Barat;29;130000;Daging Babi Berlemak
202402;Jakarta Barat;29;45000;Ikan Bandeng (sedang)
202402;Jakarta Barat;29;39889;Ikan Mas
202402;Jakarta Barat;29;27929;Ikan Lele
202402;Jakarta Barat;29;22000;Gas Elpiji 3kg
202402;Jakarta Barat;29;50000;Susu Bubuk Bendera 400gr
202402;Jakarta Barat;29;50000;Susu Bubuk Dancow 400gr
202402;Jakarta Barat;29;14607;Susu Kental Bendera 200gr
202402;Jakarta Barat;29;12304;Susu Kental Enak 200gr
202402;Jakarta Barat;29;15589;Margarin Blueband Cup
202402;Jakarta Barat;29;11036;Margarin Blueband Sachet
202402;Jakarta Selatan;29;14417;Beras IR I (IR 64)
202402;Jakarta Selatan;29;13752;Beras IR II (IR 64) Ramos
202402;Jakarta Selatan;29;13310;Beras IR III (IR 64)
202402;Jakarta Selatan;29;15843;Beras Muncul I
202402;Jakarta Selatan;29;15459;Beras IR 42/Pera
202402;Jakarta Selatan;29;14760;Beras Setra I/Premium
202403;KOTA ADM. JAKARTA PUSAT;31;12.434.516.129.032.200;Beras IR. I (IR 64) = 5% - 10%
202403;KOTA ADM. JAKARTA PUSAT;31;12.196.774.193.548.300;Beras IR. II (IR 64) Ramos = 10% - 15%
202403;KOTA ADM. JAKARTA PUSAT;31;1.090.209.677.419.350;Beras IR. III (IR 64) = 15% - 20%
202403;KOTA ADM. JAKARTA PUSAT;31;7.270.967.741.935.480;Muncul I
202403;KOTA ADM. JAKARTA PUSAT;31;11.300.645.161.290.300;Beras IR 42 / Pera
202403;KOTA ADM. JAKARTA PUSAT;31;10.088.709.677.419.300;Setra I / Premium = < 5%
202403;KOTA ADM. JAKARTA PUSAT;31;13700;Minyak Goreng (Kuning / Curah)
202403;KOTA ADM. JAKARTA PUSAT;31;65.380.645.161.290.300;Cabe Merah Keriting
202403;KOTA ADM. JAKARTA PUSAT;31;7.893.225.806.451.610;Cabe Merah Besar (TW)
202403;KOTA ADM. JAKARTA PUSAT;31;6.349.354.838.709.670;Cabe Rawit Merah
202403;KOTA ADM. JAKARTA PUSAT;31;4.730.645.161.290.320;Cabe Rawit Hijau
202403;KOTA ADM. JAKARTA PUSAT;31;3.554.516.129.032.250;Bawang Merah
202403;KOTA ADM. JAKARTA PUSAT;31;38.738.709.677.419.300;Bawang Putih
202403;KOTA ADM. JAKARTA PUSAT;31;11.952.903.225.806.400;Daging Sapi Has (Paha Belakang)
202403;KOTA ADM. JAKARTA PUSAT;31;12.749.354.838.709.600;Daging Sapi Murni (semur)
202403;KOTA ADM. JAKARTA PUSAT;31;3.066.774.193.548.380;Ayam Broiler (Ras)
202403;KOTA ADM. JAKARTA PUSAT;31;28.683.870.967.741.900;Telur Ayam Ras
202403;KOTA ADM. JAKARTA PUSAT;31;14.882.258.064.516.100;Gula Pasir
202403;KOTA ADM. JAKARTA PUSAT;31;9.248.387.096.774.190;Tepung Terigu
202403;KOTA ADM. JAKARTA PUSAT;31;31.532.258.064.516.100;Garam Dapur
202403;KOTA ADM. JAKARTA PUSAT;31;17700;Kentang (sedang)
202403;KOTA ADM. JAKARTA PUSAT;31;23.138.709.677.419.300;Tomat Buah
